1,,,,,,,,,,,,,,,,,
03390251,"Geysers Power Company, LLC",CA-956A         ,86-34 ,ACTV,DST,CALP ,1980,Lake                ,033,GEYSR,F,,,34,11N,8W,MD
03390273,"BOTTLE ROCK POWER, LLC",Francisco       ,3-5   ,IDLE,INJ,BRPL ,1980,Lake                ,033,GEYSR,P,,,5,11N,8W,MD
3390274,,,,,,,,,,,,,,,,,
03390277,Union Oil Company of California Geothermal Division                                                 ,NE Geysers Unit ,7     ,ABDN,EST,UNION,1981,Lake                ,033,GEYSR,P,,,4,11N,8W,MD
03390278,"Geysers Power Company, LLC",NE Geysers Unit ,8     ,ACTV,DST,CALP ,1981,Lake                ,033,GEYSR,P,,,5,11N,8W,MD
03390284,"Geysers Power Company, LLC",CA-5637         ,68-21 ,ACTV,DST,CALP ,1980,Lake                ,033,GEYSR,F,,,21,11N,8W,MD
3390285,,,,,,,,,,,,,,,,,
03390286,Northern California Power Agency                                                                    ,CA-949          ,53A-2 ,IDLE,DST,NCPA ,1984,Lake                ,033,GEYSR,F,,,2,10N,8W,MD
03390290,"Geysers Power Company, LLC",CA-5636         ,68A-21,ACTV,DST,CALP ,1980,Lake                ,033,GEYSR,F,,,21,11N,8W,MD
03390291,"Geysers Power Company, LLC",Moody Unit      ,1     ,ACTV,DST,CALP ,1980,Lake                ,033,GEYSR,P,,,22,11N,8W,MD
03390302,"Geysers Power Company, LLC",CA-958          ,43-35 ,ACTV,DST,CALP ,1980,Lake                ,033,GEYSR,F,,,35,11N,8W,MD
03390305,Northern California Power Agency                                                                    ,CA-949          ,72-1  ,ACTV,DST,NCPA ,1980,Lake                ,033,GEYSR,F,,,1,10N,8W,MD
03390339,"Geysers Power Company, LLC",CA-958          ,86A-34,ACTV,DST,CALP ,1980,Lake                ,033,GEYSR,F,,,34,11N,8W,MD
3390344,,,,,,,,,,,,,,,,,
03390383,"Geysers Power Company, LLC",CA-5636         ,74-21 ,IDLE,INJ,CALP ,1981,Lake                ,033,GEYSR,F,,,21,11N,8W,MD
03390391,"Geysers Power Company, LLC",CA-5636         ,23-22 ,IDLE,INJ,CALP ,1982,Lake                ,033,GEYSR,F,,,22,11N,8W,MD
